en,ar,category
amiquinsin,أميكوينسين,"Taxonomy, nosology and classification"
amisulpride,أمسيولبرايد,"Taxonomy, nosology and classification"
amitriptylinoxide,أميتريبتيلينوكسيد,"Taxonomy, nosology and classification"
amlexanox,أَمْليزانُوكس,dermatology
amlexanox,أمليكسانوكس,"Taxonomy, nosology and classification"
amlodipine,أَمْلودِيبِين,Cardiology and cadiovascular surgery
amlodipine,أملوديبين,"Taxonomy, nosology and classification"
ammoebic dysentery,زُحار أميبي,Gastroenterology
ammonia exposure,التعرُّضُ للأَمُونيا,Biochemistry and Chemistry
ammonia level test,اِخْتِبارُ مُسْتَوَى الأَمُونيا,Biochemistry and Chemistry
ammoniacal fermentation,تَخَمُّرٌ أَمُونْياكِيٌّ,Biochemistry and Chemistry
ammonuria,بِيلَةُ الأَمُونيا,nephrology
amnesia,فَقْدُ الذَّاكِرَة,neurology
amniocentesis,بَزْلُ السَّائَل الأمنيوسيّ,Obstetrics and gynecology
amnioinfusion,تَسْريبٌ في الكيسِ الأمنيوسيّ,Obstetrics and gynecology
amnion,الكيسُ الأمنيوسيّ,Obstetrics and gynecology
amnioscopy,تَنْظِيرُ الكيسِ الأمنيوسيّ,Obstetrics and gynecology
amniotic band disruption sequence syndrome,مُتَلازِمَةُ تعاقب الأَشْرِطةِ السَّلوية المُعِيقَة,Obstetrics and gynecology
amoric,لاجُسَيْمائِي,
amorphous crystal,بِلَّورَةٌ عَديمةُ الشَّكْل,Biochemistry and Chemistry
amount of substance,مقدار المادة,Biology
amoxapine,أَمُوكسَابِين,
ampere,أمبير,
amperometry,قِيْاسُ الأَمْبِير,
amperozide,أمبيروزيد,"Taxonomy, nosology and classification"
amphenicols,مركبات أمفينيكول,"Taxonomy, nosology and classification"
amphenidone,أمفينيدون,"Taxonomy, nosology and classification"
amphetamine sulfate,كِبْريتاتُ الأَمْفِيتامين,Pharmacology and therapeutics
amphetamines,أَمْفِيتامينات,Pharmacology and therapeutics
amphoric breath sound,صَوْتٌ تَنَفُّسيٌّ جَرِّي,"Chest, pulmonary and cardiothoratic surgery"
amphotalide,أمفوتاليد,"Taxonomy, nosology and classification"
amphoteric substances,مواد مذبذبة,Biochemistry and Chemistry
amphotericin B,أَمْفوتريسِّين B,Pharmacology and therapeutics
amphotericin B cholesteryl complex,مُعَقَّدُ كوليستيريل الأَمْفوتريسِّين B,Pharmacology and therapeutics
amphotericin B lipid complex,المعقَّدُ الشَّحْمي للأَمْفوتريسِّين B,Pharmacology and therapeutics
amphotericin B liposomal complex,مُعَقَّدُ لِيبُوسومال الأَمْفوتريسِّين B,Pharmacology and therapeutics
ampicillin sodium,صُّوديُوم الأَمْبيسلِّين,Pharmacology and therapeutics
amplification of viral spread,تضخيم نشر الفيروس,Infectious diseases
amplification-refractory mutation system,نظام الطفرة المقاومة للتضخيم,Laboratory medicine
amplifier T cells,الخَلايا التَّائِيَّة المُضَخِّمَة,immunology
amplitude,سعة,Physiology
amplitude of accommodation (AA),مَدَى التَّكَيُّف؛ مَدَى المُطابقَة,Ophthalmology and optics
ampoule,أمبولة,Pharmaceutical preperations
amprenavir,أَمْبرينافِير,immunology
ampulla of ductus deferens,أَمْبولَةُ الأَسْهَر (القناة الناقلة للمني),Anatomy
ampulla of the rectum,أَمْبولَةُ المُسْتَقيم,anatomy
ampullary tubal pregnancy,حَمْلٌ بُوقِيٌّ أَمْبولِيُّ,Obstetrics and gynecology
amputation care,رِعايَةُ البَتْر,"Nursing, midwifery and tocology"
amputation level,مستوى البتر,Rehabilitation
amputation-stump bandage,عِصابَةُ ما تبقى بعد البَتْر,"Nursing, midwifery and tocology"
amputee,مَبْتُور,common entries
amputee,مبتور الطرف,Rehabilitation
amputee care,رعاية المبتورين,Rehabilitation
amputee psychosocial rehabilitation,إعادة التأهيل النفسي والاجتماعي للمبتورين,Rehabilitation
amputee rehabilitation,إعادة تأهيل المبتورين,Rehabilitation
amrubicin,أمروبيسين,"Taxonomy, nosology and classification"
amsacrine,أمساكرين,"Taxonomy, nosology and classification"
amygdalolith,حَصَاة اللَّوزَة,"Taxonomy, nosology and classification"
amyl nitrite,نِتْريتُ الأَمِيل,Biochemistry and Chemistry
amylic fermentation,تَخَمُّرٌ أَمِيليٌّ,Biochemistry and Chemistry
amylmetacresol,أميلميتراكريزول,"Taxonomy, nosology and classification"
amyloid degeneration of conjunctiva,الحرض النشواني بالملتحمة,Immunology
amyloid infiltration,ارتشاح نشواني,Immunology
amyloid liver,كَبِدٌ نَشَوانِيَّة,
amyloid myopathy,اعتلال العَضَلِ الأَمَيْلُويْدِيُّ,Rheumatology
amyloid osteopathy,اعْتِلاَلٌ عَظْمِيٌّ نَشَوانيٌّ,
amyloidβ (Aβ) oligomers,قليلات القُسَيْمات النشوانية بيتا,Immunology
amyotonia,وَنَى عَضَلِيّ,"Taxonomy, nosology and classification"
amyotrophic lateral sclerosis,تصلب جانبي ضموريّ,
amyxorrhoea,قصور المخاط,Dermatology
aqualung,رئة غطس تحت الماء,"Taxonomy, nosology and classification"
aquaporin,أَكْوَابُورين,cell biology
aquathermia pad,وِسادَةُ الحَرارَة المائِيَّة,
aqueous extract,خُلاَصَةٌ مائِيَّة,cell biology
aqueous humour,الرطوبة المائية,Anatomy
aqueous phase,الطَّوْرُ المائيُّ,Biochemistry and Chemistry
aqua,ماء,Anatomy
aqua amnii (=amniotic fluid),السَّائِلُ السَّلَوِيّ,Embryology & teratology
aqua amnii (=amniotic fluid),الصَّاء,Embryology & teratology
aqua anisi,ماءُ الأَنيسون,"Traditional medicine, folk medicine"
aqua aromatica,ماءٌ عِطْرِيّ,"Traditional medicine, folk medicine"
aqua astricta,ماءٌ مُجَمَّد,"Traditional medicine, folk medicine"
aqua aurantii florum,ماءُ زَهْرِ النارِنْج,"Traditional medicine, folk medicine"
aqua aurantii florum,مازَهْر,"Traditional medicine, folk medicine"
aqua bulliens,ماءٌ مَغْلِيّ,"Traditional medicine, folk medicine"
aqua calcis,مَحْلولُ هيدْرُوكْسيدِ الكالْسِيُوم,"Traditional medicine, folk medicine"
aqua calcis,ماءٌ كِلْسِيّ,"Traditional medicine, folk medicine"
aqua camphorae,ماءُ الكافور,"Traditional medicine, folk medicine"
aqua chloroformi,ماءٌ كلُورُوفُورمِيّ,"Traditional medicine, folk medicine"
aqua cinnamomi,ماءُ القِرْفَة,"Traditional medicine, folk medicine"
aqua communis (=ordinary water),ماءٌ عادِيّ,"Traditional medicine, folk medicine"
aqua destillata,ماءٌ مُقَطَّر,"Traditional medicine, folk medicine"
aqua destillata steriles,ماءٌ مُقَطَّرٌ مُعَقَّم,"Traditional medicine, folk medicine"
aqua fervens,ماءٌ ساخِن,"Traditional medicine, folk medicine"
aqua fluvialis,ماءٌ نَهْرِيّ,"Traditional medicine, folk medicine"
aqua foeniculi,ماءُ الشَّمَر,"Traditional medicine, folk medicine"
aqua fontana,ماءُ اليَنابيع,"Traditional medicine, folk medicine"
aqua fortis,مَحْلولُ حَمْضِ النِتْريك,"Traditional medicine, folk medicine"
aqua fortis,ماءٌ قَوِيّ,"Traditional medicine, folk medicine"
aqua gaultheria,ماءُ خُضْرَةِ الشِّتاء,"Traditional medicine, folk medicine"
aqua menthae piperitae,ماءُ النِّعْناعِ الفِلْفِلِيّ,"Traditional medicine, folk medicine"
aqua menthae viridis,ماءُ النِّعْناعِ البَلَدِيّ,"Traditional medicine, folk medicine"
aqua oculi (=aqueous humor),الخِلْطُ المائِيّ,Anatomy
aqua oculi (=aqueous humor),ماءُ العَين,Anatomy
aqua pericardii (=pericardial fluid),سائِلُ التَّأمور,Anatomy
aqua pluvialis,ماءُ المَطَر,Anatomy
aqua pro injection,ماءٌ للحَقْن,Anatomy
aqua pura,ماءٌ نَقِيّ,Anatomy
aqua regia (=nitrohydrochloric acid),الماءُ المَلِكِيّ,Anatomy
aqua regia (=nitrohydrochloric acid),حَمْضُ الهِدْرُوكلُورونِتْريك,Anatomy
aqua rosae,ماءُ الوَرْد,Anatomy
aqua rosae fortior,ماءُ الوَرْدِ المُرَكَّز,Anatomy
aqua sterilisata,ماءٌ مُعَقَّم,Anatomy
aqua tepida,ماءٌ فاتِر,Anatomy
aquacapsulitis (=serous iritis),الْتِهابُ القُزَحِيَّةِ المَصْلِيّ,Anatomy
aquacapsulitis (=serous iritis),الْتِهابُ المِحْفَظَةِ المائِيّ,Anatomy
aquae,مِياه,Anatomy
aquaeductus,مَسال,Anatomy
aquagenic pruritus,حِكَّة مائِيَّة المَنْشَأ,
aquagenic urticaria,شَرَى مائِيُّ المَنْشَأ,
aquaphobia,رُهابُ الماء,Psychiatry and Psychology
aquapuncture,حَقْنُ الماءِ تَحْتَ الجِلْد,"Traditional medicine, folk medicine"
aquapuncture,وَخْزٌ مائِيّ,"Traditional medicine, folk medicine"
aquatic,مَائِيُّ المُسْتَوْطَن,Zoology
aqueduct,مَسال,Anatomy
aqueduct gliosis,دُباقُ المَسال,
aqueduct of cochlea,مَسالُ القَوقَعَة,Anatomy
aqueduct of Cotunnius (=aqueductus vestibuli),المَسالُ الدِّهْليزيّ,Anatomy
aqueduct of Cotunnius (=aqueductus vestibuli),مَسالُ قُوتونيوس,Anatomy
aqueduct of Fallopius (=canalis facialis),مَسَالُ فالُوب,Anatomy
aqueduct of Fallopius (=canalis facialis),نَفَقُ الوَجْهِيّ,Anatomy
aqueduct of mesencephalon (=cerebral aqueduct),المَسالُ الدِّماغيّ,Anatomy
aqueduct of mesencephalon (=cerebral aqueduct),مَسالُ الدِّماغِ المُتَوَسِّط,Anatomy
aqueduct of midbrain (=aqueductus cerebri NA),المَسالُ الدِّماغيّ,Anatomy
aqueduct of midbrain (=aqueductus cerebri NA),مَسالُ الدِّماغِ المُتَوَسِّط,Anatomy
aqueduct of Sylvius (=aqueductus cerebri),المَسالُ الدِّماغيّ,Anatomy
aqueduct of Sylvius (=aqueductus cerebri),مَسالُ سِلْفِيُوس,Anatomy
aqueduct of the vestibule (=aqueductus vestibuli NA),المَسالُ الدِّهْليزيّ,Anatomy
aqueduct stenosis,تَضَيُّقُ المَسَال,
aqueductal intubation,تَنْبيبُ المَسَال,
aqueductus cerebri,المَسالُ الدِّماغيّ,Anatomy
aqueductus cochleae,المَسالُ القَوقَعيّ,Anatomy
aqueductus endolymphaticus,مَسالُ اللِّمْفِ الباطِن,Anatomy
aqueductus mesencephali (=aqueductus cerebri),المَسالُ الدِّماغيّ,Anatomy
aqueductus mesencephali (=aqueductus cerebri),مَسالُ الدِّماغِ المُتَوَسِّط,Anatomy
aqueductus,المَسَال,Anatomy
aqueductus vestibuli,المَسالُ الدِّهْليزيّ,Anatomy
aqueous,مائِيّ,Anatomy
aqueous chamber,غُرْفَةُ الخِلْطِ المائِي,
aqueous emulsion,مُسْتَحْلَبٌ مائِيّ,Anatomy
aqueous humor,الخِلْطُ المائِيّ,
aqueous humor,الخِلْطِ المائِيّ,Anatomy
aqueous paracentesis,بَزْلُ الخِلْطِ المائِيّ,
aqueous solution,مَحْلُولٌ مائِيّ,
aqueous solution,مَحْلولٌ مائِيّ,Anatomy
aqueous veins,أَورِدَة الخِلْطِ المائِيّ,Anatomy
aqueousinflux phenomenon,ظاهِرَة انْدِفاقِ الخِلْطِ المَائِيّ,
aquiparous,مُفْرِزٌ للمَاء,Anatomy
aquula,مُوَيه,Anatomy
aq. ad.,مختصر يُضَافُ ماء,Abbreviations
as low as reasonably achievable,أقل ما يمكن إنجازه,Common entries
as soon as possible,بأسرع وقت ممكن,Common entries
asafoetida,حِلْتِيْت,Botany
asbestos,أَسْبَسْت,"Chest, pulmonary and cardiothoratic surgery"
asbestos body,جِسمٌ أَسْبِسْتِيّ,"Chest, pulmonary and cardiothoratic surgery"
ascaridia,داء الصفر,"Taxonomy, nosology and classification"
ascaridiasis,دَاءُ الصَّفَر,"Taxonomy, nosology and classification"
ascaridiosis,داء الصفر,"Taxonomy, nosology and classification"
ascaris,أسكاريس,"Taxonomy, nosology and classification"
ascaris,داء الصفر,"Taxonomy, nosology and classification"
ascending myelitis,الالْتِهابُ الصَّاعِدُ للحبل الشوكيِّ,Neurology
ascending myelopathy,اعتلال نخاعي صاعد,Neurology
ascending testis,خُصْيَةٌ صاعِدَة,
ascertainment bias,تحيّر التحقق,Biostatistics
asceticism,زُهْد,
ascitic tap,بزل الاستسقاء,Radiology and diagnostic technology
ascribed role,دَوْرٌ مَنْسُوب؛ دَوْرٌ مُسْنَد,
asenapine,أسينابين,"Taxonomy, nosology and classification"
asepsis,طُهْر,Bacteriology
aseptic body image,صورةُ الجِسْم الطَّاهِر؛ صورةُ الجِسْم العَقِيم,
aseptic bone necrosis,النَّخْرُ العَقِيم للعَظْم,
aseptic meningitis,التهاب سحائيّ عقيم,Neurology
aseptic peritonitis,اِلْتِهابُ الصِّفَاق العَقِيم,
aseptic processing,معالجة بطهارة,Rehabilitation
aseptic technique,طَريقَةٌ عَقِيمَة,
asexual,عزوف عن الجنس,sexology
asexualization,تَعْقِيم,
